date,Casos positivos,Activos,media_7,ia14,ia_ratio
2021-01-08,72,,31.0,1332.3773675091115,1.4069400630914826
2021-01-09,26,,33.0,1338.3521539104977,1.404388714733542
2021-01-10,29,,34.0,1347.314333512577,1.3708206686930091
2021-01-11,44,,36.0,1386.150445121587,1.3607038123167154
2021-01-12,41,,36.0,1275.616896695943,1.1894150417827296
2021-01-13,40,,40.0,1281.5916830973292,1.222222222222222
2021-01-14,27,,40.0,1287.5664694987154,1.143236074270557
2021-01-15,34,,34.0,1371.2134791181215,1.0291479820627802
2021-01-16,29,,35.0,1410.0495907271315,1.0535714285714286
2021-01-17,33,,35.0,1451.8730955368346,1.0776053215077606
2021-01-18,46,,36.0,1505.6461731493098,1.086206896551724
2021-01-19,63,,39.0,1574.3562167652506,1.234192037470726
2021-01-20,30,,37.0,1628.129294377726,1.2703962703962703
2021-01-21,37,,39.0,1646.0536535818846,1.2784222737819027
2021-01-22,33,,39.0,1529.5453187548544,1.1154684095860565
2021-01-23,17,,37.0,1502.658779948617,1.0656779661016949
2021-01-24,15,,34.0,1460.8352751389139,1.0061728395061729
2021-01-25,26,,32.0,1407.0621975264385,0.9345238095238096
2021-01-26,33,,27.0,1383.1630519208938,0.8785578747628084
2021-01-27,28,,27.0,1347.314333512577,0.8275229357798165
2021-01-28,21,,25.0,1329.3899743084185,0.807622504537205
2021-01-29,28,,24.0,1311.46561510426,0.857421875
2021-01-30,5,,22.0,1239.7681782876264,0.8250497017892645
2021-01-31,2,,20.0,1147.1589890661407,0.7852760736196318
2021-02-01,19,,19.0,1066.499372647428,0.7579617834394905
2021-02-02,8,,16.0,902.1927466093086,0.652267818574514
2021-02-03,3,,12.0,821.5331301905957,0.6097560975609756
2021-02-04,7,,10.0,731.9113341698034,0.5505617977528089
2021-02-05,9,,8.0,660.2138973531696,0.5034168564920274
2021-02-06,4,,7.0,621.3777857441596,0.5012048192771084
2021-02-07,0,,7.0,576.5668877337636,0.5026041666666667
2021-02-08,5,,5.0,513.8316305192089,0.4817927170868348
2021-02-09,6,,5.0,433.1720141004959,0.48013245033112595
2021-02-10,8,,6.0,373.4241500866344,0.4545454545454546
2021-02-11,5,,5.0,325.6258588755452,0.4448979591836735
2021-02-12,6,,5.0,259.90320846029755,0.39366515837104066
2021-02-13,3,,5.0,253.9284220589114,0.40865384615384626
2021-02-14,0,,5.0,247.95363565752524,0.43005181347150256
2021-02-15,7,,5.0,212.10491724920834,0.41279069767441867
